year_index,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
repaired_leaks_transmission_manufacturing_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca,partmtcmoffhca
repaired_leaks_transmission_manufacturing_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca,partmtcmoffnhca
repaired_failures_transmission_manufacturing,,,,,,,,,,,,,,,,,,,,,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca,partmtcmfhca
repaired_leaks_gathering_manufacturing_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona,partmgcmona
repaired_leaks_gathering_manufacturing_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb,partmgcmonb
repaired_leaks_gathering_manufacturing_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcmonc,partmgcmonc
repaired_leaks_gathering_manufacturing_offshore_total,,,,,,,,,,,,,,,,,,,,,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff,partmgcmoff
repaired_leaks_transmission_construction_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca,partmtcconhca
repaired_leaks_transmission_construction_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaco,partmtlfmcaco
repaired_leaks_transmission_construction_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,partmtcconnhca,,
repaired_leaks_transmission_construction_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34co,partmtlfcl34co
repaired_leaks_transmission_construction_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12co,partmtlfcl12co
repaired_leaks_transmission_construction_onshore_total,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,ctcd1,,,,,,,,,,,,,,,,,,,,,,
repaired_leaks_transmission_construction_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca,partmtccoffhca
repaired_leaks_transmission_construction_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca,partmtccoffnhca
repaired_leaks_transmission_construction_offshore_total,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,ctcd2,,,,,,,,,,,,,,,,,,,,,,
repaired_failures_transmission_construction,,,,,,,,,,,,,,,,,,,,,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca,partmtccfhca
repaired_leaks_gathering_construction_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona,partmgccona
repaired_leaks_gathering_construction_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb,partmgcconb
repaired_leaks_gathering_construction_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcconc,partmgcconc
repaired_leaks_gathering_construction_onshore_total,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,cgcd1,,,,,,,,,,,,,,,,,,,,,,
repaired_leaks_gathering_construction_offshore_total,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,cgcd2,,,,,,,,,,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff,partmgccoff
repaired_leaks_transmission_equipment_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca,partmtceonhca
repaired_leaks_transmission_equipment_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaeq,partmtlfmcaeq
repaired_leaks_transmission_equipment_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,partmtceonnhca,,
repaired_leaks_transmission_equipment_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34eq,partmtlfcl34eq
repaired_leaks_transmission_equipment_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12eq,partmtlfcl12eq
repaired_leaks_transmission_equipment_onshore_total,,,,,,,,,,,,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,cteo1,,,,,,,,,,,,,
repaired_leaks_transmission_equipment_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca,partmtceoffhca
repaired_leaks_transmission_equipment_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca,partmtceoffnhca
repaired_leaks_transmission_equipment_offshore_total,,,,,,,,,,,,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,cteo2,,,,,,,,,,,,,
repaired_failures_transmission_equipment,,,,,,,,,,,,,,,,,,,,,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca,partmtcefhca
repaired_leaks_gathering_equipment_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona,partmgceona
repaired_leaks_gathering_equipment_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb,partmgceonb
repaired_leaks_gathering_equipment_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgceonc,partmgceonc
repaired_leaks_gathering_equipment_onshore_total,,,,,,,,,,,,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,cgeo1,,,,,,,,,,,,,
repaired_leaks_gathering_equipment_offshore_total,,,,,,,,,,,,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,cgeo2,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff,partmgceoff
repaired_leaks_transmission_incorrect_operations_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca,partmtcioonhca
repaired_leaks_transmission_incorrect_operations_onshore_mca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfmcaio,partmtlfmcaio
repaired_leaks_transmission_incorrect_operations_onshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,partmtcioonnhca,,
repaired_leaks_transmission_incorrect_operations_onshore_class_3_class_4_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl34io,partmtlfcl34io
repaired_leaks_transmission_incorrect_operations_onshore_class_1_class_2_other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmtlfcl12io,partmtlfcl12io
repaired_leaks_transmission_incorrect_operations_offshore_hca,,,,,,,,,,,,,,,,,,,,,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca,partmtciooffhca
repaired_leaks_transmission_incorrect_operations_offshore_nonhca,,,,,,,,,,,,,,,,,,,,,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca,partmtciooffnhca
repaired_failures_transmission_incorrect_operations,,,,,,,,,,,,,,,,,,,,,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca,partmtciofhca
repaired_leaks_gathering_incorrect_operations_onshore_type_a,,,,,,,,,,,,,,,,,,,,,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgcioona,partmgciona,partmgciona
repaired_leaks_gathering_incorrect_operations_onshore_type_b,,,,,,,,,,,,,,,,,,,,,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcioonb,partmgcionb,partmgcionb
repaired_leaks_gathering_incorrect_operations_onshore_type_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,partmgcionc,partmgcionc
repaired_leaks_gathering_incorrect_operations_offshore,,,,,,,,,,,,,,,,,,,,,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgciooff,partmgcioff,partmgcioff
repaired_leaks_transmission_excavation_damage_onshore_hca,,,,,,,,,,,,,,,,,,,,,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca,partmtcedonhca
